|novel|brut_sum|brut_type|Total Words|Percentage|field
132|Kill me if you can |365|47|38626|0.9449593538031378|hor_full
133|Killer Sharks    on Dope |89|28|10375|0.8578313253012048|hor_full
134|Kingdom of Demons|119|29|12728|0.9349465744814582|hor_full
135|Klassentreffen|48|17|13121|0.3658257754744303|hor_full
136|Kuss der Nacht|28|10|2786|1.0050251256281406|hor_full
137|Lass uns SPIELEN |156|26|25068|0.6223073240785064|hor_full
138|Laub in ihrem Haar|72|23|12585|0.5721096543504172|hor_full
139|Lektion des Todes|243|28|16872|1.4402560455192033|hor_full
140|Let s play|175|35|18416|0.9502606429192006|hor_full
141|No Princess|234|43|41632|0.5620676402767102|hor_full
142|Operation Nero|224|46|17373|1.2893570482933288|hor_full
143|Other Inside|79|21|12068|0.6546237984753066|hor_full
144|PYTHON|256|49|34181|0.7489540973055206|hor_full
145|Parasitus  MMFF |214|28|18795|1.1386006916733173|hor_full
146|Perlentauchers  Diary of Mindfuck    HalloweenKalender 2011|316|45|45899|0.6884681583476765|hor_full
147|Persecuted|235|36|20985|1.1198475101262806|hor_full
148|Playtime|237|32|15973|1.4837538345958805|hor_full
149|Reality|103|34|9685|1.0635002581311306|hor_full
150|Sacrificium  Alternatives Ende |113|40|10763|1.0498931524667843|hor_full
151|Sammlung  Gruseliges  Horrorkurzgeschichten  Thriller|55|16|10469|0.525360588403859|hor_full
152|Schritte in der Dunkelheit|171|25|21528|0.794314381270903|hor_full
153|So eisig die Nacht|164|35|18183|0.9019413738107024|hor_full
154|Something Strange   Vanished|357|44|66159|0.5396091234752641|hor_full
155|Thalassophobia|75|17|15839|0.4735147420923038|hor_full
156|The  Mindbreaker |95|32|11856|0.8012820512820512|hor_full
157|The New Days|271|36|45968|0.5895405499477898|hor_full
158|The School Killer|66|14|14984|0.4404698344901228|hor_full
159|The Tell Tale Death|192|32|19505|0.9843629838502947|hor_full
160|The cursed castle|120|25|14331|0.8373456144023446|hor_full
161|Von Gänsehaut und Geistern|99|26|15760|0.6281725888324873|hor_full
162|Was ist aus mir geworden |93|31|10643|0.8738137743117541|hor_full
163|Winternacht|128|23|23879|0.5360358473972947|hor_full
164|Âme cassée  Zerbrochene Seele |36|16|4997|0.7204322593556134|hor_full
165|Чёрный козёл  Der schwarze Ziegenbock|264|47|43723|0.6038012030281545|hor_full
0|Baldur   Alle Farben der Magie_0|863|57|96418|0.8950610881785559|aben_full
1|Baldur   Alle Farben der Magie_1|840|66|98109|0.8561905635568603|aben_full
2|Baldur   Alle Farben der Magie_2|856|66|96156|0.8902200590706769|aben_full
3|Baldur   Alle Farben der Magie_3|900|62|96502|0.9326231580692629|aben_full
4|Baldur   Alle Farben der Magie_4|772|67|97109|0.7949829572954102|aben_full
5|Baldur   Alle Farben der Magie_5|647|53|67982|0.951722514783325|aben_full
6|Clash of Times|388|43|20855|1.8604651162790697|aben_full
7|Der Held von Aranor|175|41|30455|0.5746182892792645|aben_full
8|Der König von Kalaß_0|534|61|97962|0.5451093281068169|aben_full
9|Der König von Kalaß_1|64|27|12708|0.5036197670758578|aben_full
10|Der Zeitzug   Die erste Fahrt des Schaffners|45|20|11484|0.3918495297805642|aben_full
11|Die Chroniken der sieben Schwerter|147|29|21612|0.6801776790671848|aben_full
12|Die Geschichte von Lars Zickler|409|51|55211|0.7407944069116662|aben_full
13|Die Große Liebe im Jugendknast_0|373|37|105623|0.353142781401778|aben_full
14|Die Große Liebe im Jugendknast_1|302|34|104809|0.2881431938096919|aben_full
15|Die Große Liebe im Jugendknast_2|67|17|20834|0.32158970912930784|aben_full
16|Die Höhle|149|31|14562|1.023211097376734|aben_full
17|Die Kinder des Windes|222|39|38348|0.5789089391884844|aben_full
18|Ein Traum |165|37|15433|1.069137562366358|aben_full
19|Fjell   Der Berg der Jomsburg|161|30|18088|0.890092879256966|aben_full
20|Gabriel|200|36|42135|0.47466476800759466|aben_full
21|Geschäftsmann und Schamane|158|36|30083|0.5252135757736928|aben_full
22|Hinter den Bergen|466|51|52765|0.8831611863924951|aben_full
23|Infected   Kaltes Leben|52|23|10458|0.49722700325109964|aben_full
24|Jane   Dem Wahnsinn Entgegen|113|26|11614|0.9729636645427931|aben_full
25|Kreiling Power_0|659|56|97419|0.676459417567415|aben_full
26|Kreiling Power_1|325|41|48712|0.6671867301691575|aben_full
27|New Earth|134|32|15578|0.8601874438310437|aben_full
28|Piraten|235|29|39760|0.5910462776659959|aben_full
29|Risen from Ruins|92|33|11739|0.7837124116193883|aben_full
